name,type,majax,minax,posang,surfbr,hubble,messier,common
NGC1998,G,0.95,0.47,16,23.75,S0-a,,
NGC1999,RfN,2.00,2.00,,,,,
NGC2000,OCl,1.60,1.50,150,,,,
NGC2001,*Ass,7.30,3.60,40,,,,
NGC2002,GCl,1.90,1.70,20,,,,
NGC2003,GCl,1.70,1.40,70,,,,
NGC2004,GCl,3.00,2.80,90,,,,
NGC2005,GCl,1.60,1.60,,,,,
NGC2006,*Ass,1.60,1.40,140,,,,
NGC2007,G,1.53,0.51,81,23.63,SBc,,
NGC2008,G,1.23,0.62,95,23.27,Sc,,
NGC2009,OCl,1.40,1.20,10,,,,
NGC2010,OCl,1.90,1.70,170,,,,
NGC2011,OCl,1.00,1.00,,,,,
NGC2012,G,1.29,0.76,113,23.29,E-S0,,
NGC2013,OCl,,,,,,,
NGC2014,Neb,5.10,3.50,60,,,,
NGC2015,*Ass,4.70,4.00,110,,,,
NGC2016,OCl,1.80,1.80,,,,,
NGC2017,OCl,5.00,,,,,,
NGC2018,HII,2.80,1.70,170,,,,
NGC2019,GCl,1.50,1.50,,,,,
NGC2020,EmN,3.20,2.90,50,,,,
NGC2021,OCl,0.90,0.90,,,,,
NGC2022,PN,0.32,,,,,,
NGC2023,RfN,10.00,8.00,,,,,
NGC2024,Neb,30.00,30.00,,,,,
NGC2025,OCl,1.90,1.90,,,,,
NGC2026,OCl,4.20,,,,,,
NGC2027,OCl,4.60,2.80,100,,,,
NGC2028,OCl,1.10,1.00,60,,,,
NGC2029,OCl,1.10,0.85,60,,,,
NGC2030,HII,1.70,1.70,,,,,
NGC2031,GCl,3.30,2.80,150,,,,
NGC2032,HII,2.80,1.40,30,,,,
NGC2033,*Ass,5.90,4.60,10,,,,
NGC2034,*Ass,4.50,3.20,,,,,
NGC2035,Neb,1.80,1.30,20,,,,
NGC2036,OCl,1.60,1.60,,,,,
NGC2037,OCl,2.90,1.30,170,,,,
NGC2038,OCl,1.60,1.50,120,,,,
NGC2040,Neb,2.10,1.70,160,,,,
NGC2041,GCl,2.60,2.60,,,,,
NGC2042,OCl,4.50,4.50,,,,,
NGC2043,OCl,0.65,0.55,120,,,,
NGC2044,*Ass,5.50,4.50,100,,,,
NGC2046,OCl,1.10,1.00,110,,,,
NGC2047,OCl,0.95,0.90,90,,,,
NGC2048,EmN,1.40,1.00,100,,,,
NGC2049,G,2.14,0.97,167,23.70,Sa,,
NGC2050,*Ass,3.00,2.40,70,,,,
NGC2051,OCl,1.50,1.50,,,,,
NGC2052,Neb,18.00,12.00,,,,,
NGC2053,OCl,1.50,1.30,10,,,,
NGC2055,*Ass,1.90,1.30,120,,,,
NGC2056,OCl,1.50,1.50,,,,,
NGC2057,OCl,1.30,1.20,20,,,,
NGC2058,OCl,2.10,2.10,,,,,
NGC2059,OCl,1.10,1.00,170,,,,
NGC2060,SNR,2.20,2.00,160,,,,
NGC2061,OCl,,,,,,,
NGC2062,OCl,1.20,1.10,20,,,,
NGC2064,RfN,10.00,10.00,,,,,
NGC2065,OCl,2.30,2.30,,,,,
NGC2066,OCl,1.00,0.90,140,,,,
NGC2067,RfN,8.00,3.00,,,,,
NGC2068,RfN,4.50,,,,,078,
NGC2069,Neb,5.00,2.20,30,,,,
NGC2070,HII,16.00,16.00,,,,,30 Dor Cluster/Tarantula Nebula
NGC2071,Cl+N,7.00,5.00,,,,,
NGC2072,OCl,1.00,0.90,110,,,,
NGC2073,G,1.44,1.38,110,23.00,E-S0,,
